Owner,Repo,Description,URL,Language,Stars,Open Issues Count,Created At,Updated At,Size,Has Downloads,YML Count,YML Files
DesignPatternsPHP,DesignPatternsPHP/DesignPatternsPHP,Sample code for several design patterns in PHP 8.x,https://github.com/DesignPatternsPHP/DesignPatternsPHP,PHP,21619,4,2011-08-22T05:24:31Z,2024-02-18T11:03:06Z,6185,True,1,designpatternsphp.yml
AdguardTeam,AdguardTeam/AdGuardHome,Network-wide ads & trackers blocking DNS server,https://github.com/AdguardTeam/AdGuardHome,Go,21591,1003,2016-07-06T10:31:47Z,2024-02-18T17:18:33Z,19215,True,3,"build.yml, lint.yml, potential-duplicates.yml"
stretchr,stretchr/testify,A toolkit with common assertions and mocks that plays nicely with the standard library,https://github.com/stretchr/testify,Go,21579,403,2012-10-16T16:43:17Z,2024-02-18T13:56:27Z,1529,True,2,"main.yml, release.yml"
gabime,gabime/spdlog,Fast C++ logging library.,https://github.com/gabime/spdlog,C++,21504,57,2014-11-01T01:28:53Z,2024-02-18T17:24:31Z,42121,True,1,ci.yml
pugjs,pugjs/pug,"Pug – robust, elegant, feature rich template engine for Node.js",https://github.com/pugjs/pug,JavaScript,21465,304,2010-06-23T01:05:42Z,2024-02-18T12:27:36Z,14862,True,3,"rollingversions-canary.yml, rollingversions.yml, test.yml"
tornadoweb,tornadoweb/tornado,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.",https://github.com/tornadoweb/tornado,Python,21436,223,2009-09-09T04:55:16Z,2024-02-18T15:21:17Z,10107,True,2,"build.yml, test.yml"
livewire,livewire/livewire,A full-stack framework for Laravel that takes the pain out of building dynamic UIs.,https://github.com/livewire/livewire,PHP,21434,3,2019-02-12T16:53:29Z,2024-02-18T16:53:56Z,18525,True,1,test.yml
js-cookie,js-cookie/js-cookie,"A simple, lightweight JavaScript API for handling browser cookies",https://github.com/js-cookie/js-cookie,JavaScript,21434,5,2015-03-19T15:57:47Z,2024-02-18T14:22:16Z,798,True,3,"ci.yml, release.yml, stale-bot.yml"
HumanSignal,HumanSignal/labelImg,"LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer actively being developed, but you can check out Label Studio, the open source data labeling tool for images, text, hypertext, audio, video and time-series data.",https://github.com/HumanSignal/labelImg,Python,21427,453,2015-09-17T01:33:59Z,2024-02-18T11:20:14Z,242833,True,1,package.yml
pytorch,pytorch/examples,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",https://github.com/pytorch/examples,Python,21419,202,2016-08-24T03:12:48Z,2024-02-18T10:14:21Z,42192,True,3,"doc-build.yml, main_cpp.yml, main_python.yml"
forem,forem/forem,For empowering community 🌱,https://github.com/forem/forem,Ruby,21395,609,2016-11-13T23:02:13Z,2024-02-18T16:19:28Z,1582469,True,11,"build-base-ruby-image.yml, buildkite.yml, cd.yml, ci.yml, cla.yml, cleanup-cache.yml, codeql-analysis.yml, issue.yml, pr.yml, uffizzi-build.yml, uffizzi-preview.yml"
postcss,postcss/autoprefixer, Parse CSS and add vendor prefixes to rules by Can I Use,https://github.com/postcss/autoprefixer,JavaScript,21362,38,2013-03-14T05:04:51Z,2024-02-18T06:21:23Z,8054,True,1,test.yml
urfave,urfave/cli,"A simple, fast, and fun package for building command line apps in Go",https://github.com/urfave/cli,Go,21344,39,2013-07-13T19:32:06Z,2024-02-18T15:04:24Z,11129,True,4,"cli.yml, frogbot-scan-and-fix.yml, frogbot-scan-pr.yml, golangci-lint.yml"
ruby,ruby/ruby,The Ruby Programming Language,https://github.com/ruby/ruby,Ruby,21320,418,2010-02-27T15:55:23Z,2024-02-18T18:16:52Z,288611,False,22,"annocheck.yml, auto_request_review.yml, baseruby.yml, bundled_gems.yml, check_dependencies.yml, check_misc.yml, codeql-analysis.yml, compilers.yml, dependabot_automerge.yml, macos.yml, mingw.yml, pr-playground.yml, prism.yml, rjit-bindgen.yml, rjit.yml, scorecards.yml, spec_guards.yml, ubuntu.yml, wasm.yml, windows.yml, yjit-macos.yml, yjit-ubuntu.yml"
